,#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY
12,b7b7764cfa1c523e4e93ab2a79a946c4,saw transformers up and year one this week good movie overload,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/25/09 04:36 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
13,b7b7764cfa1c523e4e93ab2a79a946c4,who wants to meet up on schedule pickup day at oviedo,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/11/09 03:38 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
14,b7b7764cfa1c523e4e93ab2a79a946c4,desires the thrill of inspiration also money,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/07/09 09:35 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
15,b7b7764cfa1c523e4e93ab2a79a946c4,is going to bed at yeah,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/18/09 01:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
16,b7b7764cfa1c523e4e93ab2a79a946c4,is reading admiring her permit and occasionally glancing at her ner mcdonalds uniform,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/21/09 10:18 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
17,b7b7764cfa1c523e4e93ab2a79a946c4,thinks intangibility should be an option in reality settings,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/31/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
18,b7b7764cfa1c523e4e93ab2a79a946c4,is tired propname let me go to sleep,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/11/09 05:44 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
19,b7b7764cfa1c523e4e93ab2a79a946c4,is discovering the many flavors of insomnia,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/27/09 06:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
20,b7b7764cfa1c523e4e93ab2a79a946c4,is watching cousin play computer game on televison box thing also sleepy,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/16/09 04:52 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
21,b7b7764cfa1c523e4e93ab2a79a946c4,why is it im only getting the urge to draw when have stuff to do for school,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/26/09 12:16 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
22,b7b7764cfa1c523e4e93ab2a79a946c4,whoda thought single text message could be enough to change my mind,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/30/09 03:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
23,b7b7764cfa1c523e4e93ab2a79a946c4,wishes to develop super power that prevents her from needing to sleep,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/01/09 02:05 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
24,b7b7764cfa1c523e4e93ab2a79a946c4,tell me what to draw plox,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/02/09 09:14 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
25,b7b7764cfa1c523e4e93ab2a79a946c4,found bunny bunny died buried bunny now is drawing,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/26/09 07:53 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
26,b7b7764cfa1c523e4e93ab2a79a946c4,,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/08/09 11:00 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
27,b7b7764cfa1c523e4e93ab2a79a946c4,is just about insane by now,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/08/09 09:46 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
28,b7b7764cfa1c523e4e93ab2a79a946c4,wants to sleep eight hours tonight and so she shall,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/17/09 01:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
29,b7b7764cfa1c523e4e93ab2a79a946c4,really hates hormones and emotions right now well has hated them lot recently goodness,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/08/09 03:04 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
30,b7b7764cfa1c523e4e93ab2a79a946c4,has watch that matches her glasses she wishes she hadnt spazzed with glee when she saw it in the store,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/01/09 04:34 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
31,b7b7764cfa1c523e4e93ab2a79a946c4,loved allegory symbolism talking ragdolls satire and explosions yes,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/10/09 02:56 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
32,b7b7764cfa1c523e4e93ab2a79a946c4,cant sit on her futon because she knows as soon as she does shell lie down and pass out uncomfortable rolly desk chair it is,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/14/09 01:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
33,b7b7764cfa1c523e4e93ab2a79a946c4,should spend less time writing chapters for the story shell never finish and try reading more books preferably during the daytime and not at am,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/04/09 06:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
34,b7b7764cfa1c523e4e93ab2a79a946c4,is watching kids cartoons and wishing she werent so old,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/20/09 11:55 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
35,b7b7764cfa1c523e4e93ab2a79a946c4,has work tomorrow and hopes they teach her how to use the cash register,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/05/09 01:20 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
36,b7b7764cfa1c523e4e93ab2a79a946c4,is grateful she did most of her work during her wait for ride home this afternoon and then during the open house sleeeep she beckons,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/15/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
37,b7b7764cfa1c523e4e93ab2a79a946c4,has really confusing internal dilemma she also wonders if anyone can guess what it is,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/08/09 02:05 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
38,b7b7764cfa1c523e4e93ab2a79a946c4,thinks she needs to stop leaving so many pictures halfdone before getting new ideas,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/30/09 02:01 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
39,b7b7764cfa1c523e4e93ab2a79a946c4,has grown weary of drawing her paranoid soldierhousewife jynx character in comic form and must thusly go to sleep to replenish her desire to work tirelessly on mere audition,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/16/09 01:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
40,b7b7764cfa1c523e4e93ab2a79a946c4,is seeing tonight maybe,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/09/09 09:23 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
41,b7b7764cfa1c523e4e93ab2a79a946c4,is going to work on comics then crash into her futon with all the love unconsciousness deserves,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/23/09 09:57 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
42,b7b7764cfa1c523e4e93ab2a79a946c4,weekend love you,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/29/09 02:48 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
43,b7b7764cfa1c523e4e93ab2a79a946c4,is listening to relient and thinking about plants lawyers and internships,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/19/09 01:07 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
44,b7b7764cfa1c523e4e93ab2a79a946c4,is drawing instead of homeworking this is fun but not good,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/24/09 01:28 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
45,b7b7764cfa1c523e4e93ab2a79a946c4,will sleep like champion tonight,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/03/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
46,b7b7764cfa1c523e4e93ab2a79a946c4,dishes webcomics laziness internal lack of disruption alright,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/30/09 07:45 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
47,b7b7764cfa1c523e4e93ab2a79a946c4,wishes she werent ticklish sometimes right now though is not one of those times,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/26/09 12:45 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
48,b7b7764cfa1c523e4e93ab2a79a946c4,has magical ceiling,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/10/09 03:24 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
49,b7b7764cfa1c523e4e93ab2a79a946c4,went to bed early slept in and still feels like she hasntgotten proper nights sleep,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/13/09 10:35 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
50,b7b7764cfa1c523e4e93ab2a79a946c4,got taught how to use the register enjoyed days of summer and is looking forward to going to the beach monday,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/06/09 12:50 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
51,b7b7764cfa1c523e4e93ab2a79a946c4,hates fml on principle,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/01/09 11:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
52,b7b7764cfa1c523e4e93ab2a79a946c4,realizes traditional media hate her and has shunned her penvcils in favor of the tablet thatll learn em,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/23/09 07:17 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
53,b7b7764cfa1c523e4e93ab2a79a946c4,was all prepared to do her weekend homeowrk the morning it was due but realized she left the necessary binder at school fffffffffffff,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/12/09 09:33 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
54,b7b7764cfa1c523e4e93ab2a79a946c4,has early work blargedyargdeyblah minimuuum waaaage looove youuu,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/11/09 10:33 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
55,b7b7764cfa1c523e4e93ab2a79a946c4,far away this ship has taken me so far away goshdarnit muse stop being so awesome,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/05/09 11:36 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
56,b7b7764cfa1c523e4e93ab2a79a946c4,is little excited to see the talent show,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/09/09 10:50 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
57,b7b7764cfa1c523e4e93ab2a79a946c4,is tired she would sleep but theres cat on her desk that requires supervision,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/21/09 10:16 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
58,b7b7764cfa1c523e4e93ab2a79a946c4,dont hate you well you found me congratulations was it worth it the only thing youve managed to break so far is my heart this isnt brave its murder what did ever do to you you dont care do you please proceed to andorid hell,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/07/09 04:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
59,b7b7764cfa1c523e4e93ab2a79a946c4,needs stupid fluffy book to read inbetween experiences of normalcy,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/06/09 03:14 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
60,b7b7764cfa1c523e4e93ab2a79a946c4,will be up very late so she can ride with her dad to the airport to pick up her mamacita from as of now pm landing in from illinois,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/01/09 02:32 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
61,b7b7764cfa1c523e4e93ab2a79a946c4,is in complete love with the blackberry her mom just surprised her with and yes she is so excited that caps are completely necessary,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/05/09 10:04 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
62,b7b7764cfa1c523e4e93ab2a79a946c4,is looking forward to early january not the birthday per se but the potential to meet good friend,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/10/09 01:23 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
63,b7b7764cfa1c523e4e93ab2a79a946c4,needs to stop listening to her normal playlist if she wants to stop waking up feeling like shes missed something big,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/13/09 01:10 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
64,b7b7764cfa1c523e4e93ab2a79a946c4,spews toxic gas into your personal air bubble its super effective,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/13/09 04:21 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
65,b7b7764cfa1c523e4e93ab2a79a946c4,has comfortably comfy and mildly oversized cotton jacket from walmart yay its so soft,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/28/09 01:47 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
66,b7b7764cfa1c523e4e93ab2a79a946c4,thinks oviedo play was awesome as it should be sleep though she beckons sweetly with the promise of dreams and pillowrelated comfort night all,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/05/09 02:54 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
67,b7b7764cfa1c523e4e93ab2a79a946c4,just made nucketful of cookies and bunch of baked fries yes am awesome,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/15/09 05:03 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
68,b7b7764cfa1c523e4e93ab2a79a946c4,has made more cookies as well as bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon despite the lateearly hour this is only further awesomeness,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/17/09 05:21 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
69,b7b7764cfa1c523e4e93ab2a79a946c4,has fair idea of how to manage the kids cliche she just needs very strong gentleman named propname and thriteen wet napkins,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/24/09 05:07 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
70,b7b7764cfa1c523e4e93ab2a79a946c4,saw up also saw two chuck norris movies ffffffffffff weirdest mix ever,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/18/09 05:44 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
71,b7b7764cfa1c523e4e93ab2a79a946c4,has an autobot lunchbox and can therefore die happy now in other news she has also spent the last three hours on an off reading webcomic that started in,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/21/09 03:58 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
72,b7b7764cfa1c523e4e93ab2a79a946c4,in the post office with the longoverdue copy of photoshop for friend win at the game of clue,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/23/09 04:34 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
73,b7b7764cfa1c523e4e93ab2a79a946c4,clakclakclak rawrrrrr mel haxxxxxx rwrrrrrrrr lolzlolzlolzlolz im so hood punk stoopid yo,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/07/09 08:42 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
74,b7b7764cfa1c523e4e93ab2a79a946c4,we are not who you think we are we are golden,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/26/09 01:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
75,b7b7764cfa1c523e4e93ab2a79a946c4,am lumberjack with castro hat,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/30/09 06:45 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
76,b7b7764cfa1c523e4e93ab2a79a946c4,the day you wake up and realize youve just slept twelve hours and still want to sleep some more is the day you need to get back on regular sleeping schedule,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/06/09 07:25 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
77,b7b7764cfa1c523e4e93ab2a79a946c4,actually doesnt mind coloring with markers as much as she thought yay for coloring vividly creepy villainesses,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/31/09 03:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
78,b7b7764cfa1c523e4e93ab2a79a946c4,thinks maybe singing along with the radio during most of the eighthour ride home didnt help her throatcoughchestcold thingvery much,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,12/30/09 02:10 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
79,b7b7764cfa1c523e4e93ab2a79a946c4,drove to gas station number of times sent into panic behind the wheel hate mph zones,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,11/30/09 12:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
80,b7b7764cfa1c523e4e93ab2a79a946c4,great new year to everybody make the best of everything you see and never let the bad stuff keep you down for long,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/01/09 04:37 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
81,b7b7764cfa1c523e4e93ab2a79a946c4,has hours to do pretty much all her break work clean her room do the dishes rearrange the furniture in her room and practive drop spins maybe dozen more times xd why not right,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/02/09 10:26 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
82,b7b7764cfa1c523e4e93ab2a79a946c4,is open to requests,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/30/09 04:57 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
83,b7b7764cfa1c523e4e93ab2a79a946c4,is frankly at loss as far as her current internal project,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/06/10 02:49 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
84,b7b7764cfa1c523e4e93ab2a79a946c4,is gonna stay awake all night then should be able to just pass out at pm tomorrow today,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/07/09 07:40 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
85,b7b7764cfa1c523e4e93ab2a79a946c4,cant sleep remedies,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/22/09 06:06 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
86,b7b7764cfa1c523e4e93ab2a79a946c4,why are the people want to talk to never online when am,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/23/09 03:43 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
87,b7b7764cfa1c523e4e93ab2a79a946c4,needs to stop stressing over her personal stuff homework beckons with bejeweled smirking claw and must answer tethered by iron to the responsibilities of real life,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/07/10 09:42 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
88,b7b7764cfa1c523e4e93ab2a79a946c4,is in love with her hair today,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/11/10 10:18 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
89,b7b7764cfa1c523e4e93ab2a79a946c4,was right today was pretty much fantastic all around,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/16/10 03:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
90,b7b7764cfa1c523e4e93ab2a79a946c4,feels tomorrow will be busy and very nice day,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/15/10 03:12 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
91,b7b7764cfa1c523e4e93ab2a79a946c4,is in the last day of her twoday mad dash to finish can she get all her work done it time,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/03/09 09:13 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
92,b7b7764cfa1c523e4e93ab2a79a946c4,is it problem if my main reason to come to facebook now is to join groups and become fan of things,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/21/10 01:16 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
93,b7b7764cfa1c523e4e93ab2a79a946c4,had three hour nap this afternoon and cant sleep because of it,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,09/21/09 02:39 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
94,b7b7764cfa1c523e4e93ab2a79a946c4,my dogs are so hood,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/07/10 02:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
95,b7b7764cfa1c523e4e93ab2a79a946c4,is on roll one short of turkey now,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/28/10 01:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
96,b7b7764cfa1c523e4e93ab2a79a946c4,cant breathe and feels like her insides are clawing their way out through her belly button hate pain,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,02/02/10 03:25 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
97,b7b7764cfa1c523e4e93ab2a79a946c4,is reflecting on it and is actually very happy shes not in ib right now,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,10/01/09 11:11 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
98,b7b7764cfa1c523e4e93ab2a79a946c4,has her class ring in with its changes whoop whoop,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,02/05/10 03:55 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
99,b7b7764cfa1c523e4e93ab2a79a946c4,kiss kiss lick,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/31/10 03:38 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
100,b7b7764cfa1c523e4e93ab2a79a946c4,is too lazy to put her stuff back in order maybe tomorrow,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/18/10 02:35 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
101,b7b7764cfa1c523e4e93ab2a79a946c4,has serious crush on propname,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,01/25/10 02:57 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
102,318bf822d4f2bd3920367560218619c0,has bed bugs ewwwww,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,06/27/09 11:21 PM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
103,318bf822d4f2bd3920367560218619c0,and mosquito bites,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,06/23/09 05:41 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
104,318bf822d4f2bd3920367560218619c0,mondays are the new thursdays anthony bourdain propname forgetting your financial troubles,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,06/23/09 05:41 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
105,318bf822d4f2bd3920367560218619c0,is annoyed with herself,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,06/19/09 12:26 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
106,318bf822d4f2bd3920367560218619c0,is not turning on her cell at the moment or for the next few days dont take it personally,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,07/10/09 10:23 PM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
107,318bf822d4f2bd3920367560218619c0,is trying to figure out everything,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,06/20/09 01:41 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
108,318bf822d4f2bd3920367560218619c0,wants no more friend or exboyfriend drama drama,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,07/17/09 04:28 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
109,318bf822d4f2bd3920367560218619c0,is out for the count,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,07/29/09 04:38 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
110,318bf822d4f2bd3920367560218619c0,its the little things in life fresh flowers katie ion netflix instant movies,4.5,4.0,3.0,4.5,3.75,1,1,0,1,0,07/24/09 07:03 AM,318.0,49024.8,97.88,0.02,49584.0,0.49,0.06
